Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vs15gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs16gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs17gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs18gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs19gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs20gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs21gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs22gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs23gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs24gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs1kgr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs2kgr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs25gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs26gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs27gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs28gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs29gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs30gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs31gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs32gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs33gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs34gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs35gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs36gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs37gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs38gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs39gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs40gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs41gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs42gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs43gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs44gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs45gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs46gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs47gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs48gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs49gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs50gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs51gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs52gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs53gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs54gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs55gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs56gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs57gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs58gr;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs1sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs2sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs3sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs4sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs5sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs6sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs7sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs8sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs9sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs10sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs11sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs12sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs13sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs14sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs15sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs16sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs17sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs18sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs19sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs20sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs21sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs22sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs23sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs24sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs1ksh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs2ksh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs25sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs26sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs27sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs28sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs29sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs30sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs31sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs32sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs33sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs34sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs35sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs36sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs37sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs38sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs39sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs40sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs41sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs42sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs43sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs44sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs45sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs46sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs47sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs48sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs49sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs50sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs51sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs52sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs53sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs54sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs55sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs56sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs57sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
vs58sh;vs;;;false;11;0;0;1;0;1;true;;true;;;;0;0;0;;0;0
