Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn32;vn;ВН-32;ТП-118 вывод на ТП-121 (2 зона) (г-н Бесовец);false;11;0;0;1;0;1;true;ВН-32 Включен;true;ВН-32 Выключен;1;;0;0;0;0;0;3
vn33;vn;ВН-33;ТП-121 вывод на ТП-118 Л-18П-12 (г-н Бесовец) (ЗН);false;11;0;0;1;0;1;true;ВН-33 Включен;true;ВН-33 Выключен;1;;0;0;0;0;0;3
vn34;vn;ВН-34;ТП-121 ввод с ТП-124 Котельная Л-18П-12 (г-н Бесовец) (ЗН);false;11;0;0;1;0;1;true;ВН-34 Включен;true;ВН-34 Выключен;1;;0;0;0;0;0;3
vn35;vn;ВН-35;ТП-124 вывод на ТП-121 Л-18П-12 (г-н Бесовец) (ЗН);false;11;0;0;1;0;1;true;ВН-35 Включен;true;ВН-35 Выключен;1;;0;0;0;0;0;3
vn36;vn;ВН-36;ТП-124 ввод с Л-18П-12 (г-н Бесовец) (ЗН);false;11;0;0;1;0;1;true;ВН-36 Включен;true;ВН-36 Выключен;0;;0;0;0;0;0;3
vn37;vn;ВН-37;ТП-74 вывод на ТП-64 Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-37 Включен;true;ВН-37 Выключен;1;;0;0;0;0;0;3
vn38;vn;ВН-38;ТП-74 ввод с ТП-100 Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-38 Включен;true;ВН-38 Выключен;1;;0;0;0;0;0;3
vn39;vn;ВН-39;ТП-64 ввод с ТП-74 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-39 Включен;true;ВН-39 Выключен;1;;0;0;0;0;0;3
vn40;vn;ВН-40;ТП-64 вывод с ТП-65 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-40 Включен;true;ВН-40 Выключен;1;;0;0;0;0;0;3
vn41;vn;ВН-41;ТП-73 ввод с ТП-65 Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-41 Включен;true;ВН-41 Выключен;1;;0;0;0;0;0;3
vn42;vn;ВН-42;ТП-70 ввод с ТП-73 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-42 Включен;true;ВН-42 Выключен;1;;0;0;0;0;0;3
vn43;vn;ВН-43;ТП-61 ввод с Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-43 Включен;true;ВН-43 Выключен;0;;0;0;0;0;0;3
vn44;vn;ВН-44;ТП-70 вывод на ТП-60 Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-44 Включен;true;ВН-44 Выключен;1;;0;0;0;0;0;3
vn45;vn;ВН-45;ТП-130 вывод на ТП-133 Л-18П-9 ТП-135 (п.Чална);false;11;0;0;1;0;1;true;ВН-45 Включен;true;ВН-45 Выключен;0;;0;0;0;0;0;3
vn46;vn;ВН-46;ТП-163 ввод с ТП-168 Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-46 Включен;true;ВН-46 Выключен;0;;0;0;0;0;0;3
vn47;vn;ВН-47;ТП-163 вывод на ТП-164 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-47 Включен;true;ВН-47 Выключен;0;;0;0;0;0;0;3
vn48;vn;ВН-48;ТП-164 ввод с ТП-163 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-48 Включен;true;ВН-48 Выключен;1;;0;0;0;0;0;3
vn49;vn;ВН-49;ТП-164 ввод с Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-49 Включен;true;ВН-49 Выключен;1;;0;0;0;0;0;3
vn50;vn;ВН-50;ТП-1049 ввод со стороны Р-63 (Заозерье);false;11;0;0;1;0;1;true;ВН-50 Включен;true;ВН-50 Выключен;1;;0;0;0;0;0;3
vn51;vn;ВН-51;ТП-192 ввод с Л-79-18 (Южная Промзона);false;11;0;0;1;0;1;true;ВН-51 Включен;true;ВН-51 Выключен;1;;0;0;0;0;0;3
vn52;vn;ВН-52;ТП-217 ввод с РП-3 Л-82-4 (Ладва-Ветка);false;11;0;0;1;0;1;true;ВН-52 Включен;true;ВН-52 Выключен;0;;0;0;0;0;0;3
vn53;vn;ВН-53;ТП-198 ввод с ТП-125 Л-18П-2 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-53 Включен;true;ВН-53 Выключен;1;;0;0;0;0;0;3
vn54;vn;ВН-54;ТП-198 вывод на ТП-133, 195 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-54 Включен;true;ВН-54 Выключен;1;;0;0;0;0;0;3
vn55;vn;ВН-55;ТП-133 ввод с Л-18П-9;false;11;0;0;1;0;1;true;ВН-55 Включен;true;ВН-55 Выключен;0;;0;0;0;0;0;3
vn56;vn;ВН-56;ТП-133 вывод в сторону ТП-134 Л-18П-2;false;11;0;0;1;0;1;true;ВН-56 Включен;true;ВН-56 Выключен;1;;0;0;0;0;0;3
vn57;vn;ВН-57;ТП-104 ввод с ТП-102 Л-21-12 (ЗН);false;11;0;0;1;0;1;true;ВН-57 Включен;true;ВН-57 Выключен;1;;0;0;0;0;0;3
