Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vv6_2sh;vv;ПС6 В2;ПС6 В2 ст. Пай;false;11;0;0;1;0;1;true;ПС6 В2 Зашунтирован;true;ПС6 В2 Не Зашунтирован;0;;0;0;0;0;0;3
vv6_5;vv;ПС6 В5;ПС6 В5 ст. Пай;false;11;0;0;1;0;1;true;ПС6 В5 Включен;true;ПС6 В5 Выключен;1;;0;0;0;0;0;3
vv6_5gr;vv;ПС6 В5;ПС6 В5 ст. Пай;false;11;0;0;1;0;1;true;ПС6 В5 Заземлен;true;ПС6 В5 Не заземлен;0;;0;0;0;0;0;3
vv6_5sh;vv;ПС6 В5;ПС6 В5 ст. Пай;false;11;0;0;1;0;1;true;ПС6 В5 Зашунтирован;true;ПС6 В5 Не Зашунтирован;0;;0;0;0;0;0;3
vv18;vv;ВВ18;Л-21-8 ПКС В18;false;11;0;0;1;0;1;true;ВВ18 Включен;true;ВВ18 Выключен;1;;0;0;0;0;0;3
vv18gr;vv;ВВ18;Л-21-8 ПКС В18;false;11;0;0;1;0;1;true;ВВ18 Заземлен;true;ВВ18 Не заземлен;0;;0;0;0;0;0;3
vv18sh;vv;ВВ18;Л-21-8 ПКС В18;false;11;0;0;1;0;1;true;ВВ18 Зашунтирован;true;ВВ18 Не зашунтирован;0;;0;0;0;0;0;3
vv79_18;vv;ПС79 В18;ПС79 В18;false;11;0;0;1;0;1;true;ПС79 В18 Включен;true;ПС79 В18 Выключен;1;;0;0;0;0;0;3
vv79_18gr;vv;ПС79 В18;ПС79 В18;false;11;0;0;1;0;1;true;ПС79 В18 Заземлен;true;ПС79 В18 Не заземлен;0;;0;0;0;0;0;3
vv79_18sh;vv;ПС79 В18;ПС79 В18;false;11;0;0;1;0;1;true;ПС79 В18 Зашунтирован;true;ПС79 В18 Не зашунтирован;0;;0;0;0;0;0;3
vv515_3;vv;ПС515 В3;ПС515 В3;false;11;0;0;1;0;1;true;ПС515 В3 Включен;true;ПС515 В3 Выключен;1;;0;0;0;0;0;3
vv515_3gr;vv;ПС515 В3;ПС515 В3;false;11;0;0;1;0;1;true;ПС515 В3 Заземлен;true;ПС515 В3 Не заземлен;0;;0;0;0;0;0;3
