Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
rztp408;rz;Р ТП408;;true;11;0;0;1;0;1;true;Р ТП408 Включен;true;Р ТП408 Вылючен;;;0;0;0;;0;0
rztp408sh;rz;Р ТП408;;true;11;0;0;1;0;1;true;Р ТП408 Зашунтирован;true;Р ТП408 Не зашунтирован;;;0;0;0;;0;0
rztp330;rz;Р ТП330;;true;11;0;0;1;0;1;true;Р ТП330 Включен;true;Р ТП330 Вылючен;;;0;0;0;;0;0
rztp330sh;rz;Р ТП330;;true;11;0;0;1;0;1;true;Р ТП330 Зашунтирован;true;Р ТП330 Не зашунтирован;;;0;0;0;;0;0
rztp131;rz;Р ТП131;;true;11;0;0;1;0;1;true;Р ТП131 Включен;true;Р ТП131 Вылючен;;;0;0;0;;0;0
rztp131sh;rz;Р ТП131;;true;11;0;0;1;0;1;true;Р ТП131 Зашунтирован;true;Р ТП131 Не зашунтирован;;;0;0;0;;0;0
rztp308;rz;Р ТП308;;true;11;0;0;1;0;1;true;Р ТП308 Включен;true;Р ТП308 Вылючен;;;0;0;0;;0;0
rztp308sh;rz;Р ТП308;;true;11;0;0;1;0;1;true;Р ТП308 Зашунтирован;true;Р ТП308 Не зашунтирован;;;0;0;0;;0;0
rztp325;rz;Р ТП325;;true;11;0;0;1;0;1;true;Р ТП325 Включен;true;Р ТП325 Вылючен;;;0;0;0;;0;0
rztp325sh;rz;Р ТП325;;true;11;0;0;1;0;1;true;Р ТП325 Зашунтирован;true;Р ТП325 Не зашунтирован;;;0;0;0;;0;0
rztp513;rz;Р ТП513;;true;11;0;0;1;0;1;true;Р ТП513 Включен;true;Р ТП513 Вылючен;;;0;0;0;;0;0
rztp513sh;rz;Р ТП513;;true;11;0;0;1;0;1;true;Р ТП513 Зашунтирован;true;Р ТП513 Не зашунтирован;;;0;0;0;;0;0
rztp10;rz;Р ТП10;;true;11;0;0;1;0;1;true;Р ТП10 Включен;true;Р ТП10 Вылючен;;;0;0;0;;0;0
rztp10sh;rz;Р ТП10;;true;11;0;0;1;0;1;true;Р ТП10 Зашунтирован;true;Р ТП10 Не зашунтирован;;;0;0;0;;0;0
rztp9;rz;Р ТП9;;true;11;0;0;1;0;1;true;Р ТП9 Включен;true;Р ТП9 Вылючен;;;0;0;0;;0;0
rztp9sh;rz;Р ТП9;;true;11;0;0;1;0;1;true;Р ТП9 Зашунтирован;true;Р ТП9 Не зашунтирован;;;0;0;0;;0;0
rztp38;rz;Р ТП38;;true;11;0;0;1;0;1;true;Р ТП38 Включен;true;Р ТП38 Вылючен;;;0;0;0;;0;0
rztp38sh;rz;Р ТП38;;true;11;0;0;1;0;1;true;Р ТП38 Зашунтирован;true;Р ТП38 Не зашунтирован;;;0;0;0;;0;0
